Rk,G,Date,Series,Tm,Unnamed: 5,Opp,G#,Unnamed: 8,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Away,Home,Outcome,Point Diff
131.0,16.0,2013-06-03,ECF,MIA,0,IND,7.0,W (+23),1.0,40:49,8.0,17.0,0.471,1.0,2.0,0.5,15.0,16.0,0.938,2.0,6.0,8.0,4.0,2.0,1.0,2.0,1.0,32.0,29.2,21.0,0.0,1.0,W,23.0
132.0,17.0,2013-06-06,FIN,MIA,0,SAS,1.0,L (-4),1.0,41:35,7.0,16.0,0.438,1.0,5.0,0.2,3.0,4.0,0.75,2.0,16.0,18.0,10.0,0.0,0.0,2.0,0.0,18.0,20.4,-3.0,0.0,1.0,L,-4.0
133.0,18.0,2013-06-09,FIN,MIA,0,SAS,2.0,W (+19),1.0,40:33,7.0,17.0,0.412,1.0,3.0,0.333,2.0,2.0,1.0,1.0,7.0,8.0,7.0,3.0,3.0,2.0,2.0,17.0,17.9,29.0,0.0,1.0,W,19.0
134.0,19.0,2013-06-11,FIN,MIA,@,SAS,3.0,L (-36),1.0,39:07,7.0,21.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,1.0,10.0,11.0,5.0,2.0,0.0,2.0,0.0,15.0,10.3,-32.0,1.0,0.0,L,-36.0
135.0,20.0,2013-06-13,FIN,MIA,@,SAS,4.0,W (+16),1.0,41:23,15.0,25.0,0.6,1.0,2.0,0.5,2.0,4.0,0.5,3.0,8.0,11.0,4.0,2.0,2.0,1.0,2.0,33.0,29.6,8.0,1.0,0.0,W,16.0
136.0,21.0,2013-06-16,FIN,MIA,@,SAS,5.0,L (-10),1.0,43:41,8.0,22.0,0.364,2.0,4.0,0.5,7.0,9.0,0.778,3.0,3.0,6.0,8.0,4.0,0.0,3.0,1.0,25.0,21.2,-9.0,1.0,0.0,L,-10.0
137.0,22.0,2013-06-18,FIN,MIA,0,SAS,6.0,W (+3),1.0,49:46,11.0,26.0,0.423,1.0,5.0,0.2,9.0,12.0,0.75,4.0,6.0,10.0,11.0,3.0,1.0,6.0,3.0,32.0,25.8,-1.0,0.0,1.0,W,3.0
138.0,23.0,2013-06-20,FIN,MIA,0,SAS,7.0,W (+7),1.0,45:00,12.0,23.0,0.522,5.0,10.0,0.5,8.0,8.0,1.0,3.0,9.0,12.0,4.0,2.0,0.0,2.0,2.0,37.0,32.5,8.0,0.0,1.0,W,7.0
139.0,1.0,2014-04-20,EC1,MIA,0,CHA,1.0,W (+11),1.0,38:32,8.0,16.0,0.5,4.0,8.0,0.5,7.0,10.0,0.7,0.0,9.0,9.0,1.0,0.0,0.0,3.0,1.0,27.0,17.8,0.0,0.0,1.0,W,11.0
140.0,2.0,2014-04-23,EC1,MIA,0,CHA,2.0,W (+4),1.0,39:50,11.0,17.0,0.647,1.0,5.0,0.2,9.0,12.0,0.75,0.0,6.0,6.0,8.0,4.0,0.0,4.0,2.0,32.0,29.9,6.0,0.0,1.0,W,4.0
